SampleID	Stage	Reads
IM-24-036-JXRB_S6	No Dimers	165999
IM-24-036-JXRB_S6	Amplicons	154456
IM-24-036-JXRB_S6	OutputDada2	142764
IM-24-036-JXRB_S6	OutputPostprocessing	141930
IM-24-036-JYHK_S113	Input	382340
IM-24-036-JYHK_S113	No Dimers	285348
IM-24-036-JYHK_S113	Amplicons	258032
IM-24-036-JYHK_S113	OutputDada2	238766
IM-24-036-JYHK_S113	OutputPostprocessing	238075
IM-24-036-KFTY_S16	Input	265897
IM-24-036-KFTY_S16	No Dimers	264393
IM-24-036-KFTY_S16	Amplicons	245339
IM-24-036-KFTY_S16	OutputDada2	227156
IM-24-036-KFTY_S16	OutputPostprocessing	225691
IM-24-036-KHPF_S114	Input	193192
IM-24-036-KHPF_S114	No Dimers	190529
IM-24-036-KHPF_S114	Amplicons	177068
IM-24-036-KHPF_S114	OutputDada2	163716
IM-24-036-KHPF_S114	OutputPostprocessing	163476
IM-24-036-KVJT_S28	Input	101409
IM-24-036-KVJT_S28	No Dimers	100070
IM-24-036-KVJT_S28	Amplicons	93369
IM-24-036-KVJT_S28	OutputDada2	86308
IM-24-036-KVJT_S28	OutputPostprocessing	86261
IM-24-036-LHFR_S436	Input	234165
IM-24-036-LHFR_S436	No Dimers	233540
IM-24-036-LHFR_S436	Amplicons	215801
IM-24-036-LHFR_S436	OutputDada2	199556
IM-24-036-LHFR_S436	OutputPostprocessing	198480
IM-24-036-LMBX_S8	Input	322233
IM-24-036-LMBX_S8	No Dimers	320910
IM-24-036-LMBX_S8	Amplicons	295665
IM-24-036-LMBX_S8	OutputDada2	273179
IM-24-036-LMBX_S8	OutputPostprocessing	271000
IM-24-036-LSSX_S34	Input	312451
IM-24-036-LSSX_S34	No Dimers	310371
IM-24-036-LSSX_S34	Amplicons	288086
IM-24-036-LSSX_S34	OutputDada2	266719
IM-24-036-LSSX_S34	OutputPostprocessing	265607
IM-24-036-LTBN_S437	Input	295981
IM-24-036-LTBN_S437	No Dimers	295396
IM-24-036-LTBN_S437	Amplicons	272625
IM-24-036-LTBN_S437	OutputDada2	252548
IM-24-036-LTBN_S437	OutputPostprocessing	251601
IM-24-036-MGBT_S7	Input	243906
IM-24-036-MGBT_S7	No Dimers	241983
IM-24-036-MGBT_S7	Amplicons	224573
IM-24-036-MGBT_S7	OutputDada2	207615
IM-24-036-MGBT_S7	OutputPostprocessing	206342
IM-24-036-MJRJ_S103	Input	360269
IM-24-036-MJRJ_S103	No Dimers	358850
IM-24-036-MJRJ_S103	Amplicons	330392
IM-24-036-MJRJ_S103	OutputDada2	305396
IM-24-036-MJRJ_S103	OutputPostprocessing	303407
IM-24-036-MMML_S27	Input	175199
IM-24-036-MMML_S27	No Dimers	174488
