SampleID	Stage	Reads
IM-24-044-WUNF_S53_L001	No Dimers	135867
IM-24-044-WUNF_S53_L001	Amplicons	126122
IM-24-044-WUNF_S53_L001	OutputDada2	125382
IM-24-044-WUNF_S53_L001	OutputPostprocessing	125058
M7205Y-2_S98_L001	Input	50958
M7205Y-2_S98_L001	No Dimers	48873
M7205Y-2_S98_L001	Amplicons	45613
M7205Y-2_S98_L001	OutputDada2	45390
M7205Y-2_S98_L001	OutputPostprocessing	45128
M7236L-6_S102_L001	Input	182984
M7236L-6_S102_L001	No Dimers	181849
M7236L-6_S102_L001	Amplicons	169173
M7236L-6_S102_L001	OutputDada2	168184
M7236L-6_S102_L001	OutputPostprocessing	167083
M73I6A-3_S99_L001	Input	114084
M73I6A-3_S99_L001	No Dimers	113291
M73I6A-3_S99_L001	Amplicons	105222
M73I6A-3_S99_L001	OutputDada2	104468
M73I6A-3_S99_L001	OutputPostprocessing	103610
M7419T-8_S104_L001	Input	366025
M7419T-8_S104_L001	No Dimers	362776
M7419T-8_S104_L001	Amplicons	338503
M7419T-8_S104_L001	OutputDada2	335654
M7419T-8_S104_L001	OutputPostprocessing	333386
M7420Q-1_S97_L001	Input	39006
M7420Q-1_S97_L001	No Dimers	37765
M7420Q-1_S97_L001	Amplicons	35360
M7420Q-1_S97_L001	OutputDada2	35045
M7420Q-1_S97_L001	OutputPostprocessing	34823
M7431Z-4_S100_L001	Input	180953
M7431Z-4_S100_L001	No Dimers	177825
M7431Z-4_S100_L001	Amplicons	166716
M7431Z-4_S100_L001	OutputDada2	165754
M7431Z-4_S100_L001	OutputPostprocessing	164757
M7471B-7_S103_L001	Input	296914
M7471B-7_S103_L001	No Dimers	293744
M7471B-7_S103_L001	Amplicons	274109
M7471B-7_S103_L001	OutputDada2	272424
M7471B-7_S103_L001	OutputPostprocessing	270125
M7496S-9_S105_L001	Input	245957
M7496S-9_S105_L001	No Dimers	240405
M7496S-9_S105_L001	Amplicons	224294
M7496S-9_S105_L001	OutputDada2	220190
M7496S-9_S105_L001	OutputPostprocessing	219343
M7500L-10_S106_L001	Input	180632
M7500L-10_S106_L001	No Dimers	176833
M7500L-10_S106_L001	Amplicons	165429
M7500L-10_S106_L001	OutputDada2	162016
M7500L-10_S106_L001	OutputPostprocessing	161328
M7510U-11_S108_L001	Input	93750
M7510U-11_S108_L001	No Dimers	91521
M7510U-11_S108_L001	Amplicons	85576
M7510U-11_S108_L001	OutputDada2	85061
M7510U-11_S108_L001	OutputPostprocessing	84723
M7511W-12_S109_L001	Input	85559
M7511W-12_S109_L001	No Dimers	84298
M7511W-12_S109_L001	Amplicons	79050
M7511W-12_S109_L001	OutputDada2	78443
M7511W-12_S109_L001	OutputPostprocessing	78126
M7512L-13_S110_L001	Input	46313
M7512L-13_S110_L001	No Dimers	43037
M7512L-13_S110_L001	Amplicons	40470
M7512L-13_S110_L001	OutputDada2	40195
M7512L-13_S110_L001	OutputPostprocessing	40084
M7513H-14_S111_L001	Input	0
